"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create Pet with Photo","","6","0","3","0","0"
"","Update Pet Information","","0","0","5","0","0"
"","Get API Key","","0","0","5","0","0"
"","Get Pet List","","9","0","9","0","0"
"","Delete Pet","","1","0","3","0","0"
"","Create Pet (Simple)","","0","0","6","0","0"
"","Add Photo to Pet","","3","0","2","0","0"
